asn,isp
3325,Kazan University
3326,PRIVATE JOINT STOCK COMPANY DATAGROUP
3327,CITIC Telecom CPC Netherlands B.V.
3329,VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
3330,eww ag
3331,OpenXS GmbH
3332,Swedbank AS
3333,Reseaux IP Europeens Network Coordination Centre (RIPE NCC)
3334,VTX Services SA
3335,Federal State Educational Institution of Higher Professional Education Novosib
3337,Komatsu Germany GmbH
3339,FIBRAWORLD TELECOM S.A.U.
3342,Cibicom A/S
3343,Federal State Institution Federal Scientific Research Institute for System Ana
3347,SIX Payment Services (Europe) S.A.
3348,AVATEL TELECOM SA
3351,Ioffe Physical-Technical Institute of the Russian Academy of Sciences
3352,TELEFONICA DE ESPANA S.A.U.
3354,University of Texas System
3356,Level 3 Communications Inc.
3359,University of Alberta
3360,DXC US Latin America Corporation
3361,Digital Fortress Inc.
3363,Hong Kong University of Science and Technology
3364,Computer Systems Design Company
3365,Seesip Inc.
3366,a2i communications
3367,Xplornet Communications Inc.
3369,MCI
3371,MCI
3372,MCI
3373,MCI
3374,MCI
3375,MCI
3376,MCI
3377,MCI
3378,MCI
3379,Kaiser Foundation Health Plan Inc.
3380,Princeton Plasma Physics Laboratory
3382,University of Indonesia
3384,Center for Educational Leadership and Technology
3388,University of New Mexico
3389,Ford Motor Company
3390,University of Missouri - Kansas City
3399,Obenetwork AB
3401,City of Seattle Dept. of Admin. Services
3408,Rainbow Media Holdings LLC
3410,Cornell College
3411,St. Michael's Hospital
3412,Credit Suisse Group
3423,AT&T Corp.
3424,National Nuclear Security Administration Kansas City Plant
3425,ESnet
3428,ESnet
3431,ESnet
3443,ESnet
3446,State of Kansas
3449,Universidad Nacional de Buenos Aires
3450,University of Tennessee
3452,University of Alabama at Birmingham
3454,Universidad Autonoma de Nuevo Leon
3455,Liberty Mutual Group
3456,Charter Communications Inc
3457,Oracle Corporation
3458,Volkswagen Group of America Inc.
3459,South Texas Blood and Tissue Center
3462,Chunghwa Telecom Co. Ltd.
3464,Alabama Supercomputer Network
3465,J. B. Hunt Transport Inc.
3470,DoD Network Information Center
3472,DoD Network Information Center
3474,DoD Network Information Center
3477,National Oceanic and Atmospheric Administration
3479,Board of Regents of the University System of Georgia
3480,Board of Regents of the University System of Georgia
3481,State of Connecticut
3482,State of Montana
3484,Instituto Politecnico Nacional
3486,JPMorgan Chase & Co.
3488,Information Systems Department Japan Aerospace Exploration Agency
3491,PCCW Global Inc.
3495,US Senate
3496,Maraven
3502,Intelligence Network Online Inc.
3503,Software Maintenance Specialists Inc.
3507,Capehart Associates
3512,Emory University
3525,UNFI
3527,National Institutes of Health
3548,Centro de Investigacion y de EstudiosAvanzados del
3549,Level 3 Communications Inc.
3550,Philippine Network Foundation Inc (PHNet)
3551,Universidad Tecnologica de Panama
3555,AT&T Technical Services Company Inc.
3557,Internet Systems Consortium Inc.
3561,CenturyLink Communications LLC
3562,Sandia National Laboratories
3565,Greenville Hospital System
3571,Ernst & Young LLP
3573,Accenture LLP
3576,Hodgson Russ LLP
3577,Vestas American Wind Technology
3580,Planet Access Networks
3582,University of Oregon
3584,PubNIX Inc.
3585,TE Connectivity Corporation
3586,University of the West Indies
3592,Trinity College
3593,Frontier Communications of America Inc.
3595,zColo
3596,Universidad Autonoma Metropolitana
3597,Fundación InnovaT
3598,Microsoft Corporation
3599,CDW Technologies LLC
3601,Interconnected Associates (IXA) Inc.
3602,Rogers Communications Canada Inc.
3603,University de Los Andes
3605,Kuentos Communications Inc.
3606,Connecticut College
3608,Korea Rural Community Corporation
3613,Dell Inc.
3614,Dell Inc.
3620,MCI Telecommunications
3624,Digineo GmbH
3629,NYSERNet
3630,NYSERNet
3633,Province of British Columbia
3634,Stephen F. Austin State University
3635,US Department of Commerce Bureau of Economic Analysis
